MUNICIPIO_RESIDENCIA;URS;MICRO;MACRO;CodigoIBGE;Data;Grupo;Dose;Doses Aplicadas
Abadia dos Dourados;Uberlândia;PATROCÍNIO/MONTE CARMELO;TRIÂNGULO DO NORTE;310010;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Abaeté;Sete Lagoas;SETE LAGOAS;CENTRO;310020;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Abre Campo;Manhuaçu;MANHUAÇU;LESTE DO SUL;310030;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Acaiaca;Ponte Nova;PONTE NOVA;LESTE DO SUL;310040;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Açucena;Coronel Fabriciano;IPATINGA;VALE DO AÇO;310050;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Água Boa;Governador Valadares;SANTA MARIA DO SUAÇUÍ;LESTE;310060;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Água Comprida;Uberaba;UBERABA;TRIÂNGULO DO SUL;310070;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Aguanil;Divinópolis;CAMPO BELO;OESTE;310080;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Águas Formosas;Teófilo Otoni;ÁGUAS FORMOSAS;NORDESTE;310090;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Águas Vermelhas;Pedra Azul;PEDRA AZUL;NORDESTE;310100;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Aimorés;Governador Valadares;RESPLENDOR;LESTE;310110;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Aiuruoca;Varginha;SÃO LOURENÇO;SUL;310120;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Alagoa;Varginha;SÃO LOURENÇO;SUL;310130;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Albertina;Pouso Alegre;POÇOS DE CALDAS;SUL;310140;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;7
Além Paraíba;Leopoldina;ALÉM PARAÍBA;SUDESTE;310150;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Alfenas;Alfenas;ALFENAS/MACHADO;SUL;310160;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Alfredo Vasconcelos;Barbacena;BARBACENA;CENTRO SUL;310163;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Almenara;Pedra Azul;ALMENARA/JACINTO;NORDESTE;310170;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Alpercata;Governador Valadares;GOVERNADOR VALADARES;LESTE;310180;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Alpinópolis;Passos;PASSOS;SUL;310190;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Alterosa;Alfenas;ALFENAS/MACHADO;SUL;310200;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
Alto Caparaó;Manhuaçu;MANHUAÇU;LESTE DO SUL;310205;25/01/2021;INDÍGENAS ALDEADOS;PRIMEIRA DOSE;0
